ZoneID,ZIDX
1,2.731971365918084
2,2.742011662809590
3,2.732056017703513
4,2.750997263100963
5,2.732313004972329
6,2.753159527425787
7,2.698260370130388
8,2.680669641395197
9,2.745128260272258
10,2.688759067579372
11,1.175716884491090
12,2.698775815407063
13,1.192365314365478
14,2.706362241443276
15,2.746749510934384
16,2.798383633575213
17,2.693950856078392
18,2.755938143808157
19,1.156247930093369
20,1.266050206782412
21,2.768129696327356
22,2.732189445424746
23,2.687196690579918
24,2.764174737911857
25,2.777386800910456
26,2.699488439739993
27,2.790072391290776
28,1.239303785415180
29,2.700234503258796
30,2.758283631057572
31,1.215833160569482
32,2.766099131092481
33,2.728431590010697
34,1.388427687971635
35,2.724574832954512
36,1.222343699959599
37,2.756241301375945
38,2.782898359468191
39,2.789973693514079
40,2.776012653922294
41,2.718716563771955
42,1.237436084211183
43,1.143338334190902
44,1.326273982258662
45,1.175716613243073
46,2.726158376665698
47,1.183444078618496
48,1.290669370267417
49,2.743847004195497
50,2.727273601752706
51,2.716836316744359
52,1.156247677005185
53,2.747509663233346
54,2.735134547922109
55,1.347511502513850
56,1.166796525169449
57,2.772922967782181
58,2.801615672140678
59,1.348437640818353
60,1.492780656565613
61,2.808552795568449
62,2.746714188044322
63,2.823206104750862
64,2.786022756236791
65,2.702552662841283
66,2.676693759434824
67,2.786568702219513
68,2.696253425352807
69,2.732400827324159
70,2.782293552048406
71,1.392543080050299
72,2.786676001755117
73,2.716877104478641
74,2.759178406484125
75,2.745011737594307
76,1.230713765558474
77,2.723676036793382
78,2.761102900397873
79,2.603642897184850
80,1.241112412131341
81,2.768567539825271
82,2.654306693080470
83,2.689391914952080
84,2.664590757395138
85,2.824587398252773
86,1.183444078596937
87,2.677235476821069
88,1.185883754361990
89,2.655892792797672
90,1.203602656633043
91,2.753929290652314
92,1.346738915536123
93,1.183444078600530
94,2.677776281152799
95,1.300077921616821
96,2.677786349379351
97,1.315019015414395
98,2.749808741709589
99,2.758505136230538
100,2.728286647194025
101,1.213009102870690
102,1.260590538897121
103,2.688508274879406
104,2.719993464629585
105,1.198256106982428
106,2.647126193645913
107,2.674467150713940
108,2.705824092716642
109,2.741064058330436
110,2.715107471741780
111,2.715907624259795
112,2.660405082448458
113,1.178409020503084
114,2.661694842083093
115,2.677776281152799
116,2.620288844099911
117,2.639760914138435
118,2.663228760342436
119,2.673704148547047
